runnumber,founders,chattiness,nummembers,intimacystrength,policy,totalmembershipstrength,dropouts,totalcomments,mycommentsofturtle0,id,ms,nc,ms_gini,ms_se_gini,nc_gini,nc_se_gini
6,2,.1,700,1,"none",5377543,2,71367,0,1,31.85818,259,.1603073,.0072416,.3384438,.0092722
2,2,.1,700,1,"none",5344911,2,71007,0,1,32.38054,231,.1633925,.0072484,.3394717,.0092872
3,2,.1,700,1,"none",5379167,2,71287,0,1,23.6844,200,.1622832,.0072648,.3380539,.0093195
4,2,.1,700,1,"none",5314331,4,71033,0,1,30.50559,217,.162911,.0074141,.3351229,.0092241
7,2,.1,700,1,"none",5359445,3,71084,0,1,23.25999,190,.1653497,.0076091,.3393591,.0093154
8,2,.1,700,1,"none",5378521,1,71209,0,1,38.86977,229,.1588377,.0073928,.3376346,.0092507
5,2,.1,700,1,"none",5342522,2,71033,0,1,29.20671,235,.15797,.0071543,.3368078,.0092008
1,2,.1,700,1,"none",5371883,4,71290,0,1,17.66743,197,.1678856,.0077129,.3391166,.009344
9,2,.1,700,1,"none",5351450,0,70946,0,1,22.03956,187,.159298,.007109,.3351502,.0092862
11,2,.1,700,1,"none",5317010,3,70770,0,1,28.29379,208,.1566626,.0075701,.336117,.0091926
13,2,.1,700,1,"none",5201859,6,69723,0,1,25.16364,182,.1682623,.0077469,.3374091,.0092922
10,2,.1,700,1,"none",5392753,0,71415,0,1,26.67763,178,.1593304,.0071246,.3406033,.0092151
12,2,.1,700,1,"none",5349867,3,70895,0,1,31.16071,214,.1592179,.007457,.3357099,.0092205
14,2,.1,700,1,"none",5363402,0,71261,0,1,30.81966,217,.1591994,.0073451,.3358654,.0093056
15,2,.1,700,1,"none",5356648,2,71133,0,1,26.15895,190,.1587911,.0072443,.3378484,.0092409
16,2,.1,700,1,"none",5308029,2,70620,0,1,26.34121,202,.164083,.0074643,.3391946,.0093575
17,2,.1,700,1,"none",5381551,3,71297,0,1,29.62741,199,.1609055,.0076002,.3370736,.0092603
18,2,.1,700,1,"none",5364613,1,71140,0,1,29.92603,221,.1601568,.0073412,.3389105,.0092219
19,2,.1,700,1,"none",5370107,3,71097,0,1,24.65895,225,.1618563,.0072709,.3367443,.0093184
21,2,.1,700,1,"none",5381973,4,71470,0,1,30.59615,230,.1615887,.0075768,.3356495,.0093088
20,2,.1,700,1,"none",5379320,2,71665,0,1,28.62526,193,.1604283,.0073609,.3363896,.00918
22,2,.1,700,1,"none",5336084,5,71124,0,1,28.74749,237,.1644651,.0077993,.3357051,.0093784
23,2,.1,700,1,"none",5337897,3,70983,0,1,25.2052,183,.1616797,.0074603,.3364538,.0092882
24,2,.1,700,1,"none",5340118,1,71009,0,1,24.5133,203,.1585511,.0072595,.338806,.0092338
25,2,.1,700,1,"engage",8223264,0,71735,37182,1,41.31669,206,.1477373,.0073475,.3361243,.0093437
26,2,.1,700,1,"engage",8253512,0,72037,37247,1,55.04082,216,.144049,.0071709,.3373593,.0092088
27,2,.1,700,1,"engage",8153681,0,71204,36848,1,50.1431,221,.1441175,.0072217,.3356359,.0092841
30,2,.1,700,1,"engage",8132738,0,71037,36913,1,50.98256,216,.1469976,.0072493,.3330864,.0093096
29,2,.1,700,1,"engage",8131027,0,71179,36767,1,39.80662,192,.1466022,.0073024,.3390242,.0093348
28,2,.1,700,1,"engage",8226468,0,71683,37245,1,43.7875,227,.1439012,.0073325,.3364494,.0092222
31,2,.1,700,1,"engage",8151532,0,71010,36859,1,43.95338,250,.1444079,.0073408,.3371056,.0092724
32,2,.1,700,1,"engage",8096489,0,70571,36765,1,44.86811,223,.1459443,.0073803,.3368,.0092522
33,2,.1,700,1,"engage",8226333,0,71721,37190,1,39.89005,193,.1457237,.0072165,.3391475,.0092477
34,2,.1,700,1,"engage",8243063,0,71844,37170,1,47.73768,218,.1469043,.0073094,.3386455,.0093021
35,2,.1,700,1,"engage",8252612,0,71985,37113,1,56.0052,211,.1439893,.0073844,.3369865,.0092284
36,2,.1,700,1,"engage",8212827,0,71542,37066,1,41.07903,220,.1467948,.0074136,.3401987,.0092671
37,2,.1,700,1,"engage",8168051,0,71247,37006,1,45.78476,230,.1449425,.0072217,.3360621,.0092607
38,2,.1,700,1,"engage",8229766,0,72017,37085,1,41.68824,235,.1472249,.0072424,.335913,.0092815
39,2,.1,700,1,"engage",8220738,0,71684,37066,1,43.84055,206,.1475548,.0072028,.3391963,.0093675
41,2,.1,700,1,"engage",8184726,0,71114,36950,1,44.21292,204,.1513204,.0075121,.3386564,.0094405
40,2,.1,700,1,"engage",8197004,0,71538,37057,1,47.70198,199,.1466534,.0072979,.3334703,.0093646
42,2,.1,700,1,"engage",8182434,0,71622,36924,1,41.72708,221,.1443252,.0072728,.3351194,.0093039
43,2,.1,700,1,"engage",8160410,0,70860,36859,1,43.6473,208,.1441548,.0073608,.3359866,.0093705
44,2,.1,700,1,"engage",8199958,0,71526,37049,1,44.11324,182,.1463315,.0072541,.3346815,.0093614
46,2,.1,700,1,"engage",8159693,0,71280,36825,1,47.38224,220,.1477348,.0074162,.3358955,.0094189
45,2,.1,700,1,"engage",8222075,0,71711,37181,1,46.14775,215,.1502735,.0072179,.3376919,.0093153
47,2,.1,700,1,"engage",8157450,0,70842,36975,1,44.92625,223,.1484317,.007273,.3398191,.0094875
48,2,.1,700,1,"engage",8187777,0,71485,36912,1,38.50245,191,.1443546,.0073591,.3374748,.0092763
50,2,.1,700,5,"none",5277609,7,70711,0,1,61.39169,406,.207061,.0089305,.3789599,.0108004
49,2,.1,700,5,"none",5328891,6,71144,0,1,68.31609,392,.2069199,.0090276,.3803306,.0109702
51,2,.1,700,5,"none",5348515,7,71768,0,1,54.62476,370,.2061278,.0089158,.3798677,.010872
52,2,.1,700,5,"none",5410429,1,71684,0,1,55.11629,483,.1983677,.0084831,.3779079,.0107686
54,2,.1,700,5,"none",5373510,5,71335,0,1,49.54077,382,.2091461,.0089908,.3854303,.0108728
53,2,.1,700,5,"none",5359922,8,71645,0,1,56.74076,354,.2142706,.0092882,.3795004,.0108512
55,2,.1,700,5,"none",5422656,3,71965,0,1,53.55853,373,.2036815,.0087381,.3768879,.0109297
56,2,.1,700,5,"none",5403968,4,71832,0,1,57.80964,387,.2021923,.0086565,.3781932,.0106532
57,2,.1,700,5,"none",5337259,7,71507,0,1,55.39383,378,.2097042,.0090954,.3827449,.0109245
61,2,.1,700,5,"none",5242094,12,70533,0,1,56.14669,350,.2142669,.0092327,.3793832,.0109813
59,2,.1,700,5,"none",5318096,7,71240,0,1,46.06084,370,.213416,.0090005,.3817668,.0108386
60,2,.1,700,5,"none",5433227,1,72086,0,1,58.52836,411,.2001587,.0084246,.3753416,.0108049
62,2,.1,700,5,"none",5396007,5,71882,0,1,55.26599,381,.2044038,.0087697,.379514,.010833
58,2,.1,700,5,"none",5396450,3,71834,0,1,51.69484,378,.200591,.0085155,.3809823,.0107442
63,2,.1,700,5,"none",5347771,6,71650,0,1,57.10149,354,.1994202,.0088976,.3762675,.0107145
64,2,.1,700,5,"none",5419162,1,71899,0,1,53.96867,374,.1980817,.0086184,.3775524,.0106355
