runnumber,founders,chattiness,nummembers,intimacystrength,policy,totalmembershipstrength,dropouts,totalcomments,mycommentsofturtle0,ms_gini,ms_se_gini,nc_gini,nc_se_gini,ms_avg_gini,nc_avg_gini,ms_xrun_se_gini,nc_xrun_se_gini
,,.1,,1,none,,,,,,,,,0.16139221666666664,0.33740169583333335,0.0010083069970772485,0.0012617022619281577
,,.1,,1,onboard,,,,,,,,,0.15577471249999997,0.33727507500000004,0.0009441483546449169,0.0012643910164825312
,,.1,,1,engage,,,,,,,,,0.1462696333333333,0.3369387583333333,0.0009940332185784063,0.0012674286975311933
,,.1,,1,both,,,,,,,,,0.14358343749999997,0.33821982083333335,0.0009623650366415021,0.0012668124203787734
,,.1,,5,none,,,,,,,,,0.20487718333333332,0.3795590999999999,0.0012045181427809961,0.0014673602366748197
,,.1,,5,onboard,,,,,,,,,0.1959980541666667,0.3789227000000001,0.0011306358088905902,0.0014627860233526096
,,.1,,5,engage,,,,,,,,,0.17472209583333334,0.3790717208333334,0.0010855778662021268,0.001463516477086508
,,.1,,5,both,,,,,,,,,0.171155175,0.37801767499999994,0.0010537036031406577,0.0014596118011439138
,,.1,,11,none,,,,,,,,,0.3185278999999999,0.4531555583333333,0.0012700783239736743,0.0012759243061858097
,,.1,,11,onboard,,,,,,,,,0.296274125,0.45158848333333335,0.0011490307363641618,0.0012674567928265242
,,.1,,11,engage,,,,,,,,,0.2407405291666666,0.4496781666666667,0.0010275757204271712,0.0012529363128440368
,,.1,,11,both,,,,,,,,,0.23764029166666673,0.4503937625,0.000999938261169004,0.0012532302229736924
,,.15,,1,none,,,,,,,,,0.15626230416666667,0.3374920333333335,0.0009845413226566564,0.001264415430643742
,,.15,,1,onboard,,,,,,,,,0.15249917083333336,0.3379287833333333,0.0009478184343565875,0.0012652681554884758
,,.15,,1,engage,,,,,,,,,0.14347890416666667,0.3376599124999999,0.0009924460170970771,0.001264815810432882
,,.15,,1,both,,,,,,,,,0.14117049166666668,0.3383849916666666,0.0009698232735152585,0.0012662650696091816
,,.15,,5,none,,,,,,,,,0.21882846249999993,0.39828168333333336,0.0012101198303490497,0.0014551643159253845
,,.15,,5,onboard,,,,,,,,,0.21387353333333334,0.39957237500000004,0.0011722878614916293,0.0014608769883744618
,,.15,,5,engage,,,,,,,,,0.18949254999999998,0.39834315000000003,0.0011188383075086256,0.001468670482475793
,,.15,,5,both,,,,,,,,,0.1874928958333333,0.3988189541666665,0.001095466995177467,0.0014580922687001704
,,.15,,11,none,,,,,,,,,0.3331320375,0.47298030833333327,0.0011073645551669619,0.0011928636648197574
,,.15,,11,onboard,,,,,,,,,0.31712989999999996,0.47213847083333327,0.0010116986016567068,0.0011842721723172422
,,.15,,11,engage,,,,,,,,,0.2614432166666667,0.47139499999999995,0.0009572176434242716,0.0011788324928258362
,,.15,,11,both,,,,,,,,,0.2572214125,0.47006408749999995,0.0009420673127415636,0.001186750669356936
,,.4,,1,none,,,,,,,,,0.15663459166666668,0.34986008749999997,0.0010588568825209746,0.0013734076706075446
,,.4,,1,onboard,,,,,,,,,0.15614493333333332,0.3511506125000001,0.0010529231780786218,0.0013887965544724346
,,.4,,1,engage,,,,,,,,,0.14501714999999996,0.3498754125,0.0010392783107183703,0.0013722984952683366
,,.4,,1,both,,,,,,,,,0.14344059583333332,0.34931557916666667,0.0010199166301259172,0.001370026776071467
,,.4,,5,none,,,,,,,,,0.3161781791666667,0.4788851916666667,0.0009528485228877907,0.0011637206120860054
,,.4,,5,onboard,,,,,,,,,0.31497534583333336,0.4801358166666667,0.0009261486984307316,0.0011546054923926492
,,.4,,5,engage,,,,,,,,,0.26228410416666664,0.4789364666666666,0.0009618066973799881,0.001165220163818732
,,.4,,5,both,,,,,,,,,0.2603407708333333,0.47912410416666673,0.0009411121926687673,0.0011490115897264124
,,.4,,11,none,,,,,,,,,0.3680332458333333,0.5050984083333333,0.001214915486416978,0.0013459607280720883
,,.4,,11,onboard,,,,,,,,,0.3608242666666666,0.5033633875000001,0.0011794598330824744,0.0013578960187848664
,,.4,,11,engage,,,,,,,,,0.2950215958333333,0.5031228958333334,0.0010725743090569874,0.0013754159095109386
,,.4,,11,both,,,,,,,,,0.2933346375,0.5032744416666666,0.0010417491839797767,0.0013633244694597753
